world_cup,date,team 1,team 2,score team 1,score team 2,penalties team 1,penalties team 2,Location,phase,attendance,year,host
1930 FIFA World Cup,7/13/1930,France,Mexico,4,1,,,Montevideo ,Group stage,4444,1930,Uruguay
1930 FIFA World Cup,7/13/1930,USA,Belgium,3,0,,,Montevideo ,Group stage,18346,1930,Uruguay
1930 FIFA World Cup,7/14/1930,Romania,Peru,3,1,,,Montevideo ,Group stage,2549,1930,Uruguay
1930 FIFA World Cup,7/14/1930,Yugoslavia,Brazil,2,1,,,Montevideo ,Group stage,24059,1930,Uruguay
1930 FIFA World Cup,7/15/1930,Argentina,France,1,0,,,Montevideo ,Group stage,23409,1930,Uruguay
1930 FIFA World Cup,7/16/1930,Chile,Mexico,3,0,,,Montevideo ,Group stage,9249,1930,Uruguay
1930 FIFA World Cup,7/17/1930,USA,Paraguay,3,0,,,Montevideo ,Group stage,18306,1930,Uruguay
1930 FIFA World Cup,7/17/1930,Yugoslavia,Bolivia,4,0,,,Montevideo ,Group stage,18306,1930,Uruguay
1930 FIFA World Cup,7/18/1930,Uruguay,Peru,1,0,,,Montevideo ,Group stage,57735,1930,Uruguay
1930 FIFA World Cup,7/19/1930,Argentina,Mexico,6,3,,,Montevideo ,Group stage,42100,1930,Uruguay
1930 FIFA World Cup,7/19/1930,Chile,France,1,0,,,Montevideo ,Group stage,2000,1930,Uruguay
1930 FIFA World Cup,7/20/1930,Brazil,Bolivia,4,0,,,Montevideo ,Group stage,25466,1930,Uruguay
1930 FIFA World Cup,7/20/1930,Paraguay,Belgium,1,0,,,Montevideo ,Group stage,12000,1930,Uruguay
1930 FIFA World Cup,7/21/1930,Uruguay,Romania,4,0,,,Montevideo ,Group stage,70022,1930,Uruguay
1930 FIFA World Cup,7/22/1930,Argentina,Chile,3,1,,,Montevideo ,Group stage,41459,1930,Uruguay
1930 FIFA World Cup,7/26/1930,Argentina,USA,6,1,,,Montevideo ,Semi-finals,72886,1930,Uruguay
1930 FIFA World Cup,7/27/1930,Uruguay,Yugoslavia,6,1,,,Montevideo ,Semi-finals,79867,1930,Uruguay
1930 FIFA World Cup,7/30/1930,Uruguay,Argentina,4,2,,,Montevideo ,Final,68346,1930,Uruguay
